Game,Status,Platform,Emulator
A Bug's Life,Unstable,PS1,DuckStation
A Dance Of Fire And Ice,Stable,PC,
A Difficult Game About Climbing,Stable,PC,
A Hat in Time,Official,PC,
A Robot Named Fight!,Unstable,PC,
A Short Hike,Official,PC,
ActRaiser,Stable,SNES,BizHawk
Adventure,Official,Atari 2600,BizHawk
Against the Storm,Stable,PC,
Age of Empires II: Definite Edition,Unstable,PC,
Air Delivery,Stable,PC,
An Untitled Story,Stable,PC,
ANIMAL WELL,Stable,PC,
Anodyne,Stable,PC,
Another Crab's Treasure,Stable,PC,
Ape Escape,Stable,PS1,DuckStation
Ape Escape 3,Stable,PS2,PCSX2
APQuest,Official,Built-in,
Aquaria,Official,PC,
Archipelacode,Unstable,PC,
Archipeladoku (Sudoku),Unstable,PC,
Archipela-Go!,Unstable,PC,
Armored Core (PSX),Unstable,PS1,DuckStation
Astalon: Tears of the Earth,Stable,PC,
Autopelago,In Review,Built-in,
Axiom Verge,Stable,PC,
Balatro,Stable,PC,
Baldur's Gate 3,Unstable,PC,
Banjo-Tooie,In Review,N64,BizHawk
Beat Saber,Unstable,PC (VR),
The Binding of Isaac: Repentance,Unstable,PC,
The Binding of Isaac: Repentance (Progression Lock),Stable,PC,
Bits & Bops,Unstable,PC,
Black Market of Bulletphilia ~ 100th Black Market (Touhou 18.5),Unstable,PC,
Blasphemous,Official,PC,
Blasphemous 2,Unstable,PC,
Blockupelago,Unstable,Built-in,
Bloons Tower Defense 6,Unstable,PC,
Bomb Rush Cyberfunk,Official,PC,
Bomberman 64,Unstable,N64,BizHawk
Bomberman 64: The Second Attack,Unstable,N64,BizHawk
Bomberman Hero,Stable,N64,BizHawk
Bomberman Quest,Unstable,GBC,BizHawk
Borderlands 2,Unstable,PC,
Brave Fencer Musashi,Unstable,PS1,DuckStation
Brotato,Stable,PC,
Buckshot Roulette,Stable,PC,
Bumper Stickers,Official,Built-in,
Candy Box 2,In Review,Browser,
Cassette Beasts,Unstable,PC,
Castlevania 64,Official,N64,BizHawk
Castlevania - Circle of the Moon,Official,GBA,BizHawk
Castlevania: Dawn of Sorrow,Stable,DS,melonDS
Castlevania: Harmony of Dissonance,Stable,GBA,BizHawk
Castlevania: Legacy of Darkness,Unstable,N64,BizHawk
Castlevania: Symphony of the Night,Stable,PS1,DuckStation
Casualties: Unknown (Scav Prototype Demo),Unstable,PC,
Cat Quest,Unstable,PC,
Cave Story,Stable,PC,
Cavern of Dreams,Stable,PC,
Caves of Qud,Unstable,PC,
Celeste,Unstable,PC,
Celeste 64,Official,PC,
Celeste (Open World),Official,PC,
Chained Echoes,Unstable,PC,
ChecksFinder,Official,Built-in,
ChecksMate (Chess),In Review,Built-in,
Choo Choo Charles,Official,PC,
Christmas Delivery,Broken on Main,Browser,
Chrono Trigger: Jets of Time,Stable,SNES,BizHawk
Citadel (Luanti),Stable,PC,
Civilization V,Unstable,PC,
Civilization VI,Official,PC,
Clair Obscur Expedition 33,Unstable,PC,
Clique,APWorld Only,Built-in,
ClusterTruck,Stable,PC,
Cobalt Core,Unstable,PC,
Codeforces,Unstable,Browser,
Conbunn Cardboard,Unstable,PC,
Cookie Clicker,Unstable,Browser,
CornKidz64,Stable,PC,
corru.observer,Unstable,Browser,
Crash Bandicoot 2: Cortex Strikes Back,Unstable,PS1,DuckStation
CrossCode,Stable,PC,
CrosswordAP,Unstable,Built-in,
Crypt of the NecroDancer,Unstable,PC,
Crystal Project,APWorld Only,PC,
Crystalis,Stable,NES,BizHawk
Cuphead,Stable,PC,
Custom Robo,Unstable,N64,BizHawk
Dark Cloud 1,Unstable,PS2,PCSX2
Dark Cloud 2,Unstable,PS2,PCSX2
Dark Souls II,Stable,PC,
Dark Souls III,Official,PC,
Dark Souls Remastered,Unstable,PC,
Death's Door,Unstable,PC,
Deep Rock Galactic,Stable,PC,
Delivering Hope,Unstable,PC,
DELTARUNE,Unstable,PC,
Devil May Cry 3 (Special Edition),Unstable,PC,
Dicey Dungeons,Unstable,PC,
Diddy Kong Racing,Stable,N64,BizHawk
Digimon World 1,Unstable,PS1,DuckStation
DLCQuest,Official,PC,
Dome Keeper,Stable,PC,
Donkey Kong 64,Stable,N64,BizHawk
Donkey Kong Country,APWorld Only,SNES,BizHawk
Donkey Kong Country 2: Diddy's Kong Quest,APWorld Only,SNES,BizHawk
Donkey Kong Country 3,Official,SNES,BizHawk
Donkey Kong Country (Mirrored),Unstable,SNES,BizHawk
Don't Starve Together,APWorld Only,PC,
DOOM 1993,Official,PC,
Doom 404,Unstable,PC,
DOOM II,Official,PC,
DORONKO WANKO,Stable,PC,
Dracomino,Unstable,PC,
Dragon Warrior,APWorld Only,NES,BizHawk
Dream Dazia,Unstable,PC,
Dredge,Unstable,PC,
Duke Nukem 3D,Stable,PC,
Dungeon Clawler,Unstable,PC,
Dyson Sphere Program,Unstable,PC,
Earthbound,Merged,SNES,BizHawk
Easy Delivery Co.,Unstable,PC,
The Elder Scrolls IV: Oblivion Remastered,Stable,PC,
Elementipelago,Stable,Built-in,
Ender Lilies: Quietus of the Knights,Stable,PC,
Enter the Gungeon,Unstable,PC,
Everhood 2,Unstable,PC,
Factorio,Official,PC,
Factorio - Space Age Without Space,Stable,PC,
Factorio w/ Bob's Mods,Unstable,PC,
Faxanadu,Official,NES,BizHawk
Fez,Unstable,PC,
Final Fantasy,Official,NES,BizHawk
Final Fantasy 1: Pixel Remaster,Unstable,PC,
Final Fantasy 6 Worlds Collide,Stable,SNES,BizHawk
Final Fantasy IV: Free Enterprise,In Review,SNES,BizHawk
Final Fantasy Mystic Quest,Official,SNES,BizHawk
