Game,Status,Platform,Emulator,IsArchipelagoTool
A Bug's Life,Unstable,PS1,DuckStation,false
A Dance of Fire and Ice,Stable,PC,,false
A Difficult Game About Climbing,Stable,PC,,false
A Hat in Time,Official,PC,,false
A Robot Named Fight!,Unstable,PC,,false
A Short Hike,Official,PC,,false
ActRaiser,Stable,SNES,BizHawk,false
Adventure,Official,Atari 2600,BizHawk,false
Against the Storm,Stable,PC,,false
Age of Empires II: Definite Edition,Unstable,PC,,false
Air Delivery,Stable,PC,,false
An Untitled Story,Stable,PC,,false
ANIMAL WELL,Stable,PC,,false
Anodyne,Stable,PC,,false
Another Crab's Treasure,Stable,PC,,false
Ape Escape,Stable,PS1,DuckStation,false
Ape Escape 3,Stable,PS2,PCSX2,false
APQuest,Official,Built-in,,true
Aquaria,Official,PC,,false
Archipelacode,Unstable,PC,,true
Archipeladoku (Sudoku),Unstable,PC,,true
Archipela-Go!,Unstable,PC,,true
Armored Core (PSX),Unstable,PS1,DuckStation,false
Astalon: Tears of the Earth,Stable,PC,,false
Autopelago,In Review,Built-in,,true
Axiom Verge,Stable,PC,,false
Balatro,Stable,PC,,false
Baldur's Gate 3,Unstable,PC,,false
Banjo-Tooie,In Review,N64,BizHawk,false
Beat Saber,Unstable,PC (VR),,false
The Binding of Isaac: Repentance,Unstable,PC,,false
The Binding of Isaac: Repentance (Progression Lock),Stable,PC,,false
Bits & Bops,Unstable,PC,,false
Black Market of Bulletphilia ~ 100th Black Market (Touhou 18.5),Unstable,PC,,false
Blasphemous,Official,PC,,false
Blasphemous 2,Unstable,PC,,false
Blockupelago,Unstable,Built-in,,true
Bloons Tower Defense 6,Unstable,PC,,false
Bomb Rush Cyberfunk,Official,PC,,false
Bomberman 64,Unstable,N64,BizHawk,false
Bomberman 64: The Second Attack,Unstable,N64,BizHawk,false
Bomberman Hero,Stable,N64,BizHawk,false
Bomberman Quest,Unstable,GBC,BizHawk,false
Borderlands 2,Unstable,PC,,false
Brave Fencer Musashi,Unstable,PS1,DuckStation,false
Brotato,Stable,PC,,false
Buckshot Roulette,Stable,PC,,false
Bumper Stickers,Official,Built-in,,true
Candy Box 2,In Review,Browser,,false
Cassette Beasts,Unstable,PC,,false
Castlevania 64,Official,N64,BizHawk,false
Castlevania - Circle of the Moon,Official,GBA,BizHawk,false
Castlevania: Dawn of Sorrow,Stable,DS,melonDS,false
Castlevania: Harmony of Dissonance,Stable,GBA,BizHawk,false
Castlevania: Legacy of Darkness,Unstable,N64,BizHawk,false
Castlevania: Symphony of the Night,Stable,PS1,DuckStation,false
Casualties: Unknown (Scav Prototype Demo),Unstable,PC,,false
Cat Quest,Unstable,PC,,false
Cave Story,Stable,PC,,false
Cavern of Dreams,Stable,PC,,false
Caves of Qud,Unstable,PC,,false
Celeste,Unstable,PC,,false
Celeste 64,Official,PC,,false
Celeste (Open World),Official,PC,,false
Chained Echoes,Unstable,PC,,false
ChecksFinder,Official,Built-in,,true
ChecksMate (Chess),In Review,Built-in,,true
Choo Choo Charles,Official,PC,,false
Christmas Delivery,Broken on Main,Browser,,false
Chrono Trigger: Jets of Time,Stable,SNES,BizHawk,false
Citadel (Luanti),Stable,PC,,false
Civilization V,Unstable,PC,,false
Civilization VI,Official,PC,,false
Clair Obscur Expedition 33,Unstable,PC,,false
Clique,APWorld Only,Built-in,,true
ClusterTruck,Stable,PC,,false
Cobalt Core,Unstable,PC,,false
Codeforces,Unstable,Browser,,false
Conbunn Cardboard,Unstable,PC,,false
Cookie Clicker,Unstable,Browser,,false
Corn Kidz 64,Stable,PC,,false
corru.observer,Unstable,Browser,,false
Crash Bandicoot 2: Cortex Strikes Back,Unstable,PS1,DuckStation,false
CrossCode,Stable,PC,,false
CrosswordAP,Unstable,Built-in,,true
Crypt of the NecroDancer,Unstable,PC,,false
Crystal Project,APWorld Only,PC,,false
Crystalis,Stable,NES,BizHawk,false
Cuphead,Stable,PC,,false
Custom Robo,Unstable,N64,BizHawk,false
Dark Cloud 1,Unstable,PS2,PCSX2,false
Dark Cloud 2,Unstable,PS2,PCSX2,false
Dark Souls II,Stable,PC,,false
Dark Souls III,Official,PC,,false
Dark Souls Remastered,Unstable,PC,,false
Death's Door,Unstable,PC,,false
Deep Rock Galactic,Stable,PC,,false
Delivering Hope,Unstable,PC,,false
DELTARUNE,Unstable,PC,,false
Devil May Cry 3 (Special Edition),Unstable,PC,,false
Dicey Dungeons,Unstable,PC,,false
Diddy Kong Racing,Stable,N64,BizHawk,false
Digimon World 1,Unstable,PS1,DuckStation,false
DLCQuest,Official,PC,,false
Dome Keeper,Stable,PC,,false
Donkey Kong 64,Stable,N64,BizHawk,false
Donkey Kong Country,APWorld Only,SNES,BizHawk,false
Donkey Kong Country 2: Diddy's Kong Quest,APWorld Only,SNES,BizHawk,false
Donkey Kong Country 3,Official,SNES,BizHawk,false
Donkey Kong Country (Mirrored),Unstable,SNES,BizHawk,false
